DISCOVERTIME,COORDX,COORDY,INFOSCNAME
05-4月 -15,-2208.504422,-8038.314665,群租
05-4月 -15,-1762.01,-8504.27,群租
07-4月 -15,0,0,群租
03-4月 -15,-2207.32,-5702.57,群租
03-4月 -15,-2335.2,-5845.69,群租
03-4月 -15,-3392.65,-7615.04,群租
03-4月 -15,-2593.34,-5210.98,群租
02-4月 -15,-4332.61,-6710.47,群租
01-4月 -15,-2634.43,-7465.58,群租
01-4月 -15,-3800.89,-11568.38,地锁
30-3月 -15,-2209,-8038,其它井盖
31-3月 -15,-1998.6,-5692.76,群租
29-3月 -15,-1415,-12080,其它井盖
29-3月 -15,-5106.34,-5899.53,群租
27-3月 -15,-7076.51,-8665.5,群租
27-3月 -15,-3082.6,-4980.08,群租
28-3月 -15,-2928.92,-7018.4,群租
28-3月 -15,-2208.504422,-8038.314665,群租
30-3月 -15,-2335.2,-5845.69,群租
26-3月 -15,-1099.94,-3657.64,群租
25-3月 -15,-1565,-3619,其它井盖
26-3月 -15,-2208.51,-8038.32,群租
22-3月 -15,0,0,群租
22-3月 -15,0,0,群租
24-3月 -15,-4138.06,-5184.25,群租
24-3月 -15,-6452.51,-8447.72,群租
24-3月 -15,-4332.600104,-6710.460264,群租
23-3月 -15,-4332.61,-6710.47,群租
20-3月 -15,-4479.01,-7071.63,群租
20-3月 -15,-6452.51,-8447.72,群租
21-3月 -15,-2083,-8494,公共交通站亭
17-3月 -15,-3227.760039,-9590.020043,机非分隔设施
17-3月 -15,-2208.51,-8038.32,群租
17-3月 -15,-3200.89,-9216.48,群租
18-3月 -15,-4479.01,-7071.63,群租
18-3月 -15,-3706.253895,-7756.518185,群租
19-3月 -15,-4232.24,-8226.26,群租
18-3月 -15,-2007.01,-10490.6,群租
19-3月 -15,-2634.43,-7465.58,群租
19-3月 -15,-4332.61,-6710.47,群租
19-3月 -15,-3952.54,-9429.72,其它井盖
18-3月 -15,-3918.89,-4574.71,群租
18-3月 -15,-6241,-7238,路面积水、污水冒溢、粪便冒溢
16-3月 -15,-2646.66,-7740.93,群租
16-3月 -15,-2419,-10210,擅自占用道路堆物、施工
17-3月 -15,-7076.51,-8665.5,群租
17-3月 -15,-2451.72,-2389.6,群租
13-3月 -15,-4572.76,-4815.82,群租
13-3月 -15,-1264,-7625,道路破损
12-3月 -15,-2007.01,-10490.6,群租
12-3月 -15,-3067,-2527,暴露垃圾
10-3月 -15,-870.41,-3662.65,群租
10-3月 -15,-870.41,-3662.65,群租
11-3月 -15,-4332.61,-6710.47,群租
11-3月 -15,-4213.81,-5499.25,路面积水、污水冒溢、粪便冒溢
11-3月 -15,-1239,-4598,路面积水、污水冒溢、粪便冒溢
08-3月 -15,-2389.18,-11884.49,群租
08-3月 -15,0,0,路面积水、污水冒溢、粪便冒溢
08-3月 -15,-3071.17,-9184.33,群租
07-3月 -15,-3065.666918,-9182.806698,群租
09-3月 -15,-2007.01,-10490.6,群租
09-3月 -15,0,0,自来水管破裂
04-3月 -15,-2331.87,-5810.66,群租
05-3月 -15,-1595,-5175.12,群租
04-3月 -15,-3292.17,-4468.34,群租
06-3月 -15,-3071.166982,-9184.327978,群租
06-3月 -15,-2496.13,-8878.79,地锁
01-3月 -15,-5702.479977,-5879.957639,群租
03-3月 -15,-2208.504422,-8038.314665,群租
28-2月 -15,-2325,-3858,其它井盖
28-2月 -15,-1762.01,-8504.27,群租
27-2月 -15,-4389,-10280,路面塌陷
14-2月 -15,-2512.08,-4154.44,路面积水、污水冒溢、粪便冒溢
15-2月 -15,-1337.74,-13473.03,群租
14-2月 -15,-2512,-4154,路面积水、污水冒溢、粪便冒溢
14-2月 -15,0,0,其它井盖
21-1月 -15,-3392.65,-7615.04,群租
20-1月 -15,-2008.68,-11817.99,群租
20-1月 -15,-3918.4,-4665.07,地锁
20-1月 -15,-4825.7,-4731.26,群租
05-2月 -15,0,0,群租
20-1月 -15,0,0,群租
20-1月 -15,-4825.7,-4731.26,群租
20-1月 -15,-2558,-7662,桥梁
20-1月 -15,-1389.55,-13104.02,群租
20-1月 -15,-1328.21,-13097.89,群租
20-1月 -15,-1328.21,-13097.89,群租
20-1月 -15,-1328.21,-13097.89,群租
20-1月 -15,-2975,-9168,路灯
20-1月 -15,0,0,路灯
20-1月 -15,-4355.57,-4240.34,群租
20-1月 -15,-4355.57,-4240.34,群租
20-1月 -15,-1724.61,-11211.91,群租
20-1月 -15,-1357.56,-2178.28,群租
20-1月 -15,-5787,-5903.37,群租
20-1月 -15,0,0,群租
20-1月 -15,-3481.22,-9411.07,群租
20-1月 -15,-5787,-5903.37,群租
20-1月 -15,0,0,群租
20-1月 -15,-940.39,-3047.06,群租
20-1月 -15,-2752.69,-7613.21,群租
20-1月 -15,0,0,群租
20-1月 -15,0,0,群租
20-1月 -15,0,0,群租
20-1月 -15,-1328.21,-13097.89,群租
24-1月 -15,0,0,群租
20-1月 -15,-2514,-4155,路面积水、污水冒溢、粪便冒溢
20-1月 -15,-1267.89,-13086.79,群租
20-1月 -15,-2634.89,-4914.84,群租
21-1月 -15,-2435,-6963.6,群租
21-1月 -15,-1811.67,-10923.6,群租
26-1月 -15,-3668.06,-10841.25,群租
25-1月 -15,-4221.689951,-4640.736686,群租
31-1月 -15,-2073.85,-4451.69,地锁
22-1月 -15,-4371.72,-6684.46,群租
23-1月 -15,-1067,-2186,路面积水、污水冒溢、粪便冒溢
26-1月 -15,-4008.9,-11510.79,群租
25-1月 -15,-3037,-10910,其它井盖
03-2月 -15,0,0,群租
30-1月 -15,0,0,路面积水、污水冒溢、粪便冒溢
30-1月 -15,-6019.39,-5881.01,群租
27-1月 -15,-4221.689951,-4640.736686,群租
30-1月 -15,-1956.1,-11073.15,群租
03-2月 -15,0,0,群租
03-2月 -15,-1328.20683,-13097.88178,群租
06-2月 -15,-3197.36,-7971.45,群租
29-1月 -15,-2697.61,-6589,群租
28-1月 -15,-1538.279932,-4212.819942,群租
29-1月 -15,-4619.942859,-11140.16621,群租
09-2月 -15,-3796.739939,-4817.950033,群租
09-2月 -15,-807.71,-3648.92,群租
28-1月 -15,-2100.65,-4710.3,群租
28-1月 -15,-1931.67,-10494.94,群租
02-2月 -15,-3466.64,-5441.31,道路施工和施工问题
29-1月 -15,-4221.689951,-4640.736686,群租
09-2月 -15,-3197.36,-7971.45,群租
29-1月 -15,-4760.880542,-5882.781738,群租
07-1月 -15,-1366.44,-12596.57,群租
24-12月-14,-2367,-2195,路面积水、污水冒溢、粪便冒溢
24-12月-14,-1959,-10410,擅自占用道路堆物、施工
24-12月-14,100.001,100.001,群租
04-1月 -15,-3018.09,-10088.78,群租
04-1月 -15,-3221.53,-7689.1,群租
04-1月 -15,-6019.39,-5881.01,群租
27-12月-14,100.001,100.001,群租整治
28-12月-14,-2561.872102,-6574.244648,群租
30-12月-14,-4390.260085,-4239.52,群租
30-12月-14,-3918.399153,-4665.06087,地锁
25-12月-14,-2882.459932,-4402.649932,群租整治
25-12月-14,-941.2318119,-2927.677911,群租
22-12月-14,100.001,100.001,车容车貌脏乱差
25-12月-14,-3427.934314,-7031.901164,群租
23-12月-14,-1485.1,-2385.41,地锁
28-11月-14,100,100,上水井盖
28-11月-14,-1952.43,-10575.58,群租
03-12月-14,-4825.69168,-4731.250908,群租
03-12月-14,-1529.24365,-3697.8027,群租
03-12月-14,-3541.306758,-7527.57329,群租
05-12月-14,-975.351637,-3009.436282,群租
